State/Region P_code,Division/State (Myanmar),Division/State ,Township  (Myanmar),Township ,Type (Myanmar),Type,Name (Myanmar),Name,Latitude,Longitude,Phone Number,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေအာင္,Aung,21.879372,95.979338,09 970868734,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,မံုရြာျမိဳ ့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စူပါပါ၀ါ,Super Power,22.106095,95.1137061,09 974113788,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,မံုရြာျမိဳ ့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,သစ္ဆန္း,Thit San,22.113664,95.130847,071 22488,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,မံုရြာျမိဳ ့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စူပါစတား,Super Star,22.117129,95.155747,09 445466466,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,မံုရြာျမိဳ ့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဒိုင္းမြန္း,Diamond,22.111695,95.141621,09 443667272,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,မံုရြာျမိဳ ့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေအာင္မိသားစု,Aung Family,22.126285,95.134925,09 400453356,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,မံုရြာျမိဳ ့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,အိန္ဂ်ယ္,Angel,22.134978,95.157791,09 770646696,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,မံုရြာျမိဳ ့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ကူဒီဟိန္း,Kude Hein,22.126539,95.139351,09 455888808,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,မံုရြာျမိဳ ့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဆန္းယူနုိက္တက္,San United,22.121329,95.169517,09 256119872,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,ေရႊဘိုျမိဳ ့,Shwe Bo,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,သာထူး,Tha Htoo,22.571119,95.690998,09 455534440,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,ေရႊဘိုျမိဳ ့,Shwe Bo,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေက်ာ္,Kyaw,22.573131,95.720541,057 21548,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,နက္ဆန္း,Nat San,21.918322,95.956615,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေဂ်ေဂ်,JJ Bussiness Group,21.917848,96.967492,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေနာ္လွ်န္ဟုမ္း,Naw Shwan Home,21.928041,95.969896,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေရႊေတာင္ရိုး,Shwe Taung Yoe,21.891263,95.987281,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေအာင္စတား,Aung Star,21.885415,95.984868,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,တိုးႀကီး,Toe Gyi,21.883299,95.981258,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စကိုင္းနက္,Skynet,21.880747,95.987289,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေတာ့ပ္ဝမ္း,Top1,21.880133,95.981996,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေငြငန္းဦး,Ngwe Ngann Oo,21.879123,95.98168,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဇြဲ,Zwe,21.879861,95.980625,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေငြၾကယ္မိုး,Ngwe Kyal Moe,22.766215,95.427699,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,သိန္းဆန္း,Thein San,21.879008,95.979396,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရႊဘိုျမို့,Shwebo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,အာ၀ိုင္ဘီ,RYB,22.580336,95.694413,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရႊဘိုျမို့,Shwebo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,သာထူး,Tha Htoo,22.571097,95.691039,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရႊဘိုျမို့,Shwebo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ယိုရိုဇု,Yo Ro Zu,22.569131,95.694659,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရႊဘိုျမို့,Shwebo ,လ်ွပ္စစ္ပစၥည္းျပဳျပင္ေရး,Electronic Service,ေက်ာ္စြာ,Kyaw Swar,22.567522,95.698343,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရႊဘိုျမို့,Shwebo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေဇာ္,Zaw,22.566489,95.698279,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရႊဘိုျမို့,Shwebo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,လင္း,Linn,22.568453,95.69848,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရႊဘိုျမို့,Shwebo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ထြန္း,Tun,22.568303,95.698563,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရႊဘိုျမို့,Shwebo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ပါဖက္,Perfect,22.564929,95.698254,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရႊဘိုျမို့,Shwebo ,ဓာတ္အားခြဲရံု,Electrical Substation,၂၃၀ေကဗြီ,Land 230 KV ,22.615338,95.737217,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရဦးျမို့,Ye Oo ,ျမိဳ႕နယ္လ်ွပ္စစ္အင္ဂ်င္နီယာရံုး,Electrical Power Office,ေရဦးလွ်ပ္စစ္ရံုး,Ye Oo EPC,22.76602,95.427737,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရဦးျမို့,Ye Oo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ရတနာပံု,Yatanapone,22.763846,95.428668,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရဦးျမို့,Ye Oo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ျပည့္စံု,Pyae Sone,22.763121,95.428921,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရဦးျမို့,Ye Oo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေအာင္ေက်ာ္မိုး,Aung Kyaw Moe,22.763555,95.4256,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရဦးျမို့,Ye Oo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ကိုထိုက္,Ko Htike,22.765532,95.426999,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရဦးျမို့,Ye Oo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,နယူးအဲနဂ်ီ,New Energy,22.7671289,95.421031,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ေရဦးျမို့,Ye Oo ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,လ၀န္းသစ္,La Wun Thit,22.764268,95.429043,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ကၽြန္းလွျမို့,Kyunhla ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,မိုးေကာင္းကင္,Moe Kaung Kin,23.321204,95.522526,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ကၽြန္းလွျမို့,Kyunhla ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,၁ရာစု,Century One,23.321263,95.525581,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ကၽြန္းလွျမို့,Kyunhla ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေအာင္ခ်မ္းမိုး,Aung Chan Myae,23.318533,95.570057,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ကၽြန္းလွျမို့,Kyunhla ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စပယ္,Sabiai,22.286877,95.449515,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ကၽြန္းလွျမို့,Kyunhla ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စင္ကာပူ,Singapore,22.282127,95.445084,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ကၽြန္းလွျမို့,Kyunhla ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,လင္းသစ္စာ,Lin Thit Sar,22.285686,95.449459,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,ကၽြန္းလွျမို့,Kyunhla ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,သစ္ဆန္း,Thit San,22.285843,95.449459,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,မံုရြာျမို့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,အလင္းသစ္,New Light,22.117901,95.149526,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,မံုရြာျမို့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေအာင္မိသားစု,Aung Family,22.126406,95.134805,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,မံုရြာျမို့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေအာင္ေကာင္းျမတ္,Aung Kaung Myat,22.129685,95.160267,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,မံုရြာျမို့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေရႊရည္၀င္း,Shwe Yi Win,22.084668,95.162866,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,မံုရြာျမို့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,မိုးသိျကား,Moe Thi Kyar,22.107075,95.13133,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,မံုရြာျမို့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,အားသစ္,Ar Thit,22.107127,95.70059,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,မံုရြာျမို့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေကအန္ေက,KNK ,22.105225,95.137267,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,မံုရြာျမို့,Monywa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,အိုင္တီစီးတီး,IT City,22.116321,95.132201,,
MR001,စစ္ကိုင္းတိုင္းေဒသၾကီး,Sagaing Division,စစ္ကိုင္းျမို့,Saging ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,နယူးဘီး,New Bee,22.116672,95.141525,,
MR002,တနသၤာရီတိုင္းေဒသၾကီး,TaninTharyi Division,ထား၀ယ္ျမို့,Dawei,ျမိဳ႕နယ္လ်ွပ္စစ္အင္ဂ်င္နီယာရံုး,Electrical Power Office,ထား၀ယ္လ်ွပ္စစ္ဓာတ္အားေပးစက္ရံု,Dawei Electrical Power Office,14.083522,98.194653,,
MR002,တနသၤာရီတိုင္းေဒသၾကီး,TaninTharyi Division,ထား၀ယ္ျမို့,Dawei,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ယူအမ္ဂ်ီ(ျမန္မာ),UMG(Myanmar),14.056698,98.190334,059 23007,
MR002,တနသၤာရီတိုင္းေဒသၾကီး,TaninTharyi Division,ထား၀ယ္ျမို့,Dawei,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စိန္ေရႊ,Sein Shwe,14.072742,98.190061,09 254821821,
MR002,တနသၤာရီတိုင္းေဒသၾကီး,TaninTharyi Division,ထား၀ယ္ျမို့,Dawei,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,၈၈,88Electric,14.075414,98.186501,09 450992600,
MR002,တနသၤာရီတိုင္းေဒသၾကီး,TaninTharyi Division,ထား၀ယ္ျမို့,Dawei,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဇီဇ၀ါေမႊး,Zi Zawar Hmwe,14.123739,98.175781,09 8752211,
MR002,တနသၤာရီတိုင္းေဒသၾကီး,TaninTharyi Division,ေမာင္းမကန္ျမို့,Maung Ma Kan,လ်ွပ္စစ္ပစၥည္းျပဳျပင္ေရး,Electronic Service,စူပါ,Super Electronic Service,14.173206,98.103867,09 782462554,
MR002,တနသၤာရီတိုင္းေဒသၾကီး,TaninTharyi Division,ပုေလာျမို့,Palaw,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,အလင္းေရာင္,Alinyaung,12.974337,98.647189,,
MR002,တနသၤာရီတိုင္းေဒသၾကီး,TaninTharyi Division,ကလိန္ေအာင္ျမို့,Kaleinnaung,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,မိဘေမတၱာ,Miba Myittar,14.623811,98.137898,09 788374373,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ပဲခူးျမို႕,Bago ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စုမြန္,Su Mon,17.334425,96.493107,,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ပဲခူးျမို႕,Bago,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေဇာ္,Zaw,17.3360548,96.4890237,,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ပဲခူးျမို႕,Bago,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေ၀ယံ,Wai Yan,17.3341598,96.4817398,09260632525,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ပဲခူးျမို႕,Bago,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,မစ္ရွင္,Mission,17.3366186,96.4895647,0973333439,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ပဲခူးျမို႕,Bago,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,အိုေက,OK,17.3332787,96.4932783,09790150354,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ပဲခူးျမို႕,Bago,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေရြွလိပ္ျပာ,Golden Butterfly,17.335357,96.489248,,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ပဲခူးျမို႕,Bago,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေနလ,Sun Mon,17.334421,96.493107,,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ပဲခူးျမို႕,Bago,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ကြန္နက္,Connect Technologies,17.332707,96.489442,09777732910,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ပဲခူးျမို႕,Bago,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဂရင္းလဲန္ဒ္,Green Land,17.345155,96.49721,,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေတာင္ငူျမို႕,Taungoo,လ်ွပ္စစ္ပစၥည္းျပဳျပင္ေရး,Electronic Service,ကိုမိုး,Ko Moe,18.937764,96.434376,09253211782,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေတာင္ငူျမို႕,Taungoo,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ရိုလဲ့က္စ္-ဗဟို,Rolex-baho,18.940396,96.440103,05424136,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေတာင္ငူျမို႕,Taungoo,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,အလင္းပြင့္,A Linn Pwint,18.943392,96.427824,09777054684,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေတာင္ငူျမို႕,Taungoo,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေအာင္ရတနာ,Aung Yadanar,18.940108,96.440063,05425128,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေတာင္ငူျမို႕,Taungoo,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ညြန္႔,Nyunt,18.940945,96.440198,05425167,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေတာင္ငူျမို႕,Taungoo,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,အကန့္အသတ္မဲ့ကုမၸဏီလိမိတက္,"Unlimited Co.,ltd",18.94379,96.432803,09259326866,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေတာင္ငူျမို႕,Taungoo,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စည္ဗဟို,Si Ba Ho,18.939835,96.434363,09785328569,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေဇယ်၀တီျမို႕,Zay Ya Wadi ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဟုမ္းလိုက္ထ္,Home Light,18.535551,96.431198,09260559621,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေဇယ်၀တီျမို႕,Zay Ya Wadi ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စိန္ခ်ယ္ရီ,Sein Cherry,18.544199,96.429808,095390518,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေဇယ်၀တီျမို႕,Zay Ya Wadi ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေဇယ်ာပံု,Zayar Pon,18.537391,96.431362,05485073,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေဇယ်၀တီျမို႕,Zay Ya Wadi ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဧရိုးမား,Aroma,18.535128,96.431429,09797852517,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ေဇယ်၀တီျမို႕,Zay Ya Wadi ,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,စီးတီးလိုက္ထ္,City Light,18.533679,96.431551,09250702200,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ဒိုက္ဦးျမို႕,Daik U,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဟယ္လို,Hello,17.797247,96.670281,095142250,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ဒိုက္ဦးျမို႕,Daik U,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေရြွေတာင္တန္း,Shwe Taung Tan,17.795254,96.665478,09252557565,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ဒိုက္ဦးျမို႕,Daik U,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေရြွဟသၤာ,Shwe Hnin Thar,17.797104,96.671533,095382124,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ၾကိဳ႕ပင္ေကာက္ျမို႕,Gyo Bingauk,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဟန္လင္း,Han Lin,18.230243,95.648927,05350700,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ၾကိဳ႕ပင္ေကာက္ျမို႕,Gyo Bingauk,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ျမတ္လင္းေရာင္,Myat Lin Yaung,18.229494,95.652025,05351017,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,ၾကိဳ႕ပင္ေကာက္ျမို႕,Gyo Bingauk,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ၾကယ္စင္လင္း,Kyal Sin Lin,18.231633,95.653573,095373094,
MR003,ပဲခူးတိုင္းေဒသၾကီး,Bago Division,က၀ျမိဳ႕,Kawa,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,လင္းလင္းေအာင္,Lin Lin Aung,17.088598,96.456171,,
