State/Region P_code,Division/State ,Township ,Type,Name,Latitude,Longitude,Phone Number,,,,,
MR003,Bago Division,Taungoo,Electronic Store,Aung Yadanar,18.940108,96.440063,05425128,,,,,
MR003,Bago Division,Taungoo,Electronic Store,Nyunt,18.940945,96.440198,05425167,,,,,
MR003,Bago Division,Taungoo,Electronic Store,"Unlimited Co.,ltd",18.94379,96.432803,09259326866,,,,,
MR003,Bago Division,Taungoo,Electronic Store,Si Ba Ho,18.939835,96.434363,09785328569,,,,,
MR003,Bago Division,Zay Ya Wadi ,Electronic Store,Home Light,18.535551,96.431198,09260559621,,,,,
MR003,Bago Division,Zay Ya Wadi ,Electronic Store,Sein Cherry,18.544199,96.429808,095390518,,,,,
MR003,Bago Division,Zay Ya Wadi ,Electronic Store,Zayar Pon,18.537391,96.431362,05485073,,,,,
MR003,Bago Division,Zay Ya Wadi ,Electronic Store,Aroma,18.535128,96.431429,09797852517,,,,,
MR003,Bago Division,Zay Ya Wadi ,Electronic Store,City Light,18.533679,96.431551,09250702200,,,,,
MR003,Bago Division,Daik U,Electronic Store,Hello,17.797247,96.670281,095142250,,,,,
MR003,Bago Division,Daik U,Electronic Store,Shwe Taung Tan,17.795254,96.665478,09252557565,,,,,
MR003,Bago Division,Daik U,Electronic Store,Shwe Hnin Thar,17.797104,96.671533,095382124,,,,,
MR003,Bago Division,Gyo Bingauk,Electronic Store,Han Lin,18.230243,95.648927,05350700,,,,,
MR003,Bago Division,Gyo Bingauk,Electronic Store,Myat Lin Yaung,18.229494,95.652025,05351017,,,,,
MR003,Bago Division,Gyo Bingauk,Electronic Store,Kyal Sin Lin,18.231633,95.653573,095373094,,,,,
MR003,Bago Division,Kawa,Electronic Store,Lin Lin Aung,17.088598,96.456171,,,,,,
MR003,Bago Division,Kawa,Electronic Store,Shine,17.088505,96.45571,09428149423,,,,,
MR003,Bago Division,Kyauk Ta Ga,Electronic Store,Aung Tagon,18.156365,96.611084,09400010304,,,,,
MR003,Bago Division,Kyauk Ta Ga,Electronic Store,King,18.156856,96.611951,,,,,,
MR003,Bago Division,Kyauk Ta Ga,Electronic Store,Aung,18.155462,96.613008,09954922717,,,,,
MR003,Bago Division,Taw Kyae Inn,Electronic Store,Pyae Phyo Aung,18.279289,96.526308,09428194394,,,,,
MR003,Bago Division,Taw Kyae Inn,Electronic Store,Agyi,18.276605,96.522014,,,,,,
MR003,Bago Division,Pyay,Electronic Store,Naing,18.822763,95.216416,09423718483,,,,,
MR003,Bago Division,Pyay,Electronic Store,Kaung,18.82109,95.234627,,,,,,
MR003,Bago Division,Pyay,Electronic Store,Aung Myanmar Htun,18.815775,95.250853,09456400669,,,,,
MR003,Bago Division,Pyay,Electronic Store,Htein Linn,18.817948,95.2569174,09421061587,,,,,
MR003,Bago Division,Pyay,Electronic Store,Aung,18.818425,95.257362,0931446200,,,,,
MR003,Bago Division,Pyay,Electronic Store,Phoe La Min,18.8175594,95.253511,09403406698,,,,,
MR003,Bago Division,Pyay,Electronic Store,Wai Yan,18.8196477,95.2181709,05324040,,,,,
MR003,Bago Division,Pyay,Electronic Store,Myat Noe Thu,18.823467,95.216698,09423718304,,,,,
MR003,Bago Division,Pyay,Electronic Store,Htun Hauk,18.819214,95.222854,09796999961,,,,,
MR003,Bago Division,Shwedaung,Electronic Store,Green Tech,18.70262,95.210664,09975332232,,,,,
MR003,Bago Division,Pyu,Electronic Store,San Phyu,18.482557,96.436694,09254361495,,,,,
MR003,Bago Division,Pyu,Electronic Store,PD,18.484495,96.435026,,,,,,
MR003,Bago Division,Pyu,Electronic Store,Ko Lar Lu,18.481205,96.43498,09976222991,,,,,
MR003,Bago Division,Pyu,Electronic Service,Modern,18.46969,96.436652,09256208889,,,,,
MR003,Bago Division,Mon,Electronic Service,Soe Min Hein,18.528984,96.622811,09458021386,,,,,
MR003,Bago Division,Letpadan,Electronic Store,Sun Star,17.78395,95.748446,05332371,,,,,
MR003,Bago Division,Letpadan,Electronic Store,Kyaw Kyaw,17.783206,95.749714,09978005199,,,,,
MR003,Bago Division,O The Gon,Electronic Store,One Star,18.04039,95.692385,,,,,,
MR003,Bago Division,O The Gon,Electronic Store,99,18.042925,95.694448,09423668058,,,,,
MR003,Bago Division,Okpho,Electronic Store,Ayar,18.135155,95.669059,,,,,,
MR003,Bago Division,Nattalin,Electronic Store,Zarni,18.429948,95.549813,09974321301,,,,,
MR003,Bago Division,Nattalin,Electronic Store,Kyaung Sa Yar,18.429632,95.552539,09787996198,,,,,
MR003,Bago Division,Nyaunglebin,Electronic Store,Auto King,17.958516,96.719967,,,,,,
MR003,Bago Division,Nyaunglebin,Electronic Store,Lae Llaing,17.9565687,96.7147772,09790172468,,,,,
MR003,Bago Division,Shwegyin,Electronic Store,Saung Hnin Aein,17.929321,96.880675,09428013226,,,,,
MR003,Bago Division,Thonse,Electronic Store,Ko Nyar Thar,17.624339,95.786761,,,,,,
MR003,Bago Division,Phado,Electronic Store,Aung Thitsar,18.036884,96.556211,09250212510,,,,,
MR003,Bago Division,Phado,Electronic Store,i-Tech,18.037315,96.554117,09975220333,,,,,
MR003,Bago Division,Phado,Electronic Store,San Pya,18.036991,96.55445,09790207625,,,,,
MR003,Bago Division,Penwegone,Electronic Store,Best Buy,18.224777,96.566132,09450043022,,,,,
MR003,Bago Division,Oktwin,Electronic Store,Pan Gabar(2),18.828131,96.409831,,,,,,
MR003,Bago Division,Paungdale`,Electronic Store,Kaung Myat Thu,18.850426,95.384892,09791183587,,,,,
MR003,Bago Division,Paungdale`,Electronic Store,Kaung Htun Lin,18.850815,95.384027,,,,,,
MR003,Bago Division,Paungde,Electronic Store,DK,18.488696,95.506859,05338838,,,,,
MR003,Bago Division,Paungde,Electronic Store,Win Pa Pa,18.490312,95.508175,05338240,,,,,
MR003,Bago Division,Tantabin,Electronic Store,Silver Star,16.942163,96.024866,09763213022,,,,,
MR003,Bago Division,Zigon,Electronic Store,Kaung Hein,18.338091,95.623435,05334379,,,,,
MR003,Bago Division,Thegon,Electronic Store,San Chain Thit,18.648358,95.415384,09975508499,,,,,
MR003,Bago Division,Paungde,Electrical Substation,33kv/11kv Substation,18.485312,95.510772,05338014,,,,,
MR003,Bago Division,Hmattaing,Electrical Substation,MEPE Hmattaing,18.582291,95.530998,,,,,,
MR003,Bago Division,Pyay,Electrical Substation,Green Star,18.824963,95.248448,092038284,,,,,
MR003,Bago Division,Tha Ya Gon,Electrical Substation,Thayagon Electricity Substation,18.089197,96.641515,,,,,,
MR003,Bago Division,Shwedaung,Electrical Substation,Shwedaung Substation,18.727817,95.228298,,,,,,
MR003,Bago Division,Daik U,Electrical Substation,Aung Soe Moe Transformer,17.784284,96.659593,,,,,,
MR003,Bago Division,Daik U,Electrical Substation,Than Ta Dar Transformer,17.791014,96.663647,,,,,,
MR003,Bago Division,Daik U,Electrical Substation,Yone Ta Dar Transformer,17.784284,96.659593,,,,,,
MR003,Bago Division,Daik U,Electrical Substation,Khun Hnit Transformer,17.799923,96.66595,,,,,,
MR003,Bago Division,Daik U,Electrical Substation,Da Yel Mee Tarson Transformer,17.805745,96.671373,09777747418,,,,,
MR003,Bago Division,Taungoo,Hydroelectric Power Plant,Thauk Ye Khat No.(2),18.911165,96.61612,01222422,,,,,
MR003,Bago Division,Kyauk Ta Ga,Hydroelectric Power Plant,Yenwe,18.08685,96.445965,,,,,,
MR003,Bago Division,Taungoo,Hydroelectric Power Plant,Kha Baung,18.898143,96.222382,,,,,,
MR003,Bago Division,Pyu,Hydroelectric Power Plant,Phyu Chaung,18.506146,96.353704,,,,,,
MR003,Bago Division,Bago,Hydroelectric Power Plant,Zaungtu,17.754641,96.200508,,,,,,
MR003,Bago Division,Shwegyin,Hydroelectric Power Plant,Shwegyin,17.968286,96.933004,,,,,,
MR003,Bago Division,Daik U,Electrical Power Office,Daik U Electrical Power Office,17.803775,96.673062,05240013,,,,,
MR003,Bago Division,Paungde,Electrical Power Office,Paungde Electrical Power Office,18.485627,95.511302,,,,,,
MR004,Magway Division,Magway,Electronic Store,Magway,20.159552,94.92199,9694702392,,,,,
MR004,Magway Division,Magway,Electronic Store,Zarmani,20.193307,94.927488,9965145235,,,,,
MR004,Magway Division,Magway,Electronic Store,Win,20.151945,94.93434,95343814,,,,,
MR004,Magway Division,Magway,Electronic Store,Aung Zar Chi,20.144414,94.92589,,,,,,
MR004,Magway Division,Magway,Electronic Store,Ni Ni,20.151681,94.921648,,,,,,
MR004,Magway Division,Magway,Electronic Store,Swam,20.144066,94.932921,9401552755,,,,,
MR004,Magway Division,Magway,Electronic Store,Sein Shwe,20.150815,94.927447,9898930098,,,,,
MR004,Magway Division,Magway,Electronic Store,Myo Thein,20.147546,94.946013,9965343076,,,,,
MR004,Magway Division,Magway,Electronic Store,Kaung Myat,20.150993,94.939835,6327467,,,,,
MR004,Magway Division,Magway,Electronic Store,Naing Lin Maung,20.142347,94.937043,9401570262,,,,,
MR004,Magway Division,Magway,Electronic Store,Hteik Tan,20.182931,94.872032,9401570262,,,,,
MR004,Magway Division,Magway,Electronic Store,Dollar,20.150641,94.923381,,,,,,
MR004,Magway Division,Magway,Electronic Store,Myat Ko,20.151051,94.920381,943152497,,,,,
MR004,Magway Division,Chauk,Electronic Store,Min Thu,20.892922,94.815307,95042785,,,,,
MR004,Magway Division,Chauk,Electronic Store,Phyo Thu Kha,20.895002,94.817005,95177288,,,,,
MR004,Magway Division,Chauk,Electronic Store,Hein Htet Aung,20.899458,94.817802,9400462772,,,,,
MR004,Magway Division,Chauk,Electronic Store,Khaing,20.893295,94.820917,943008346,,,,,
MR004,Magway Division,MinBu,Electronic Store,KMK,20.181573,94.8751,9401636175,,,,,
MR004,Magway Division,MinBu,Electronic Store,Hteik Tan,20.171373,94.870212,9977273110,,,,,
MR004,Magway Division,MinBu,Electronic Store,Hteik Tan,20.182341,94.871472,9976437843,,,,,
MR004,Magway Division,Pwint Phyu,Electronic Store,Chan Nyein,20.365075,94.670793,9401572082,,,,,
MR004,Magway Division,Pakokku,Electronic Store,Fuji,21.336598,95.078478,9772221050,,,,,
MR004,Magway Division,Pakokku,Electronic Store,Top,21.339871,95.08,9429325295,,,,,
MR004,Magway Division,Pakokku,Electronic Store,Shwe Thiri,21.338703,95.088547,9250250756,,,,,
MR004,Magway Division,Pakokku,Electronic Store,Zaw MIn,21.337214,95.099744,92302139,,,,,
MR004,Magway Division,Pakokku,Electronic Store,Zaw,21.335758,95.088895,,,,,,
MR004,Magway Division,Pakokku,Electronic Store,Shwe pie,21.335276,95.078451,,,,,,
MR004,Magway Division,Pakokku,Electronic Store,Hline Dana,21.335447,95.074351,9899981335,,,,,
MR004,Magway Division,Seik Phyu,Electronic Store,Win Moe,20.93751,94.788056,9783609969,,,,,
MR004,Magway Division,Myaing,Electronic Store,Yadanar WIn,21.612988,94.853862,9790169699,,,,,
MR004,Magway Division,Myaing,Electronic Store,Hna Lone Hla,21.612765,94.854249,6240104,,,,,
MR004,Magway Division,Pauk,Electronic Store,Shwe MinThar,21.449245,94.47445,,,,,,
MR004,Magway Division,GanGaw,Electronic Store,Lin Yaung Shin,22.1625544,94.129565,9442001028,,,,,
MR004,Magway Division,AungLan,Electronic Store,Sein Dollar,19.368837,95.212196,,,,,,
MR004,Magway Division,AungLan,Electronic Store,Dollar,19.375411,95.212112,,,,,,
MR004,Magway Division,AungLan,Electronic Store,Thiri Gayhar,19.372878,95.211703,69200217,,,,,
MR004,Magway Division,AungLan,Electronic Store,Zainul Zaw Lwin,19.360279,95.21884,9256332786,,,,,
MR004,Magway Division,AungLan,Electronic Store,Aein Phyu Taw,19.345461,95.217149,9260007311,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Shwe Thiha ,21.972377,96.404366,09 790 160288,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Padauk War,22.026411,96.465553,085 224 56,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Ngwe Sandar,22.026479,96.465588,09 402 559 955,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,NSTAR,22.032576,96.470312,085 28366,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Shwe La Win,22.028687,96.457472,09 964334882,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,ShuLat,21.984707,96.430699,09 798618382,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Aung Tharaphu,21.894834,96.357801,,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Ngwe Zin Yaw,21.89368,96.35823,,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Light,22.033831,96.492717,09 40252 2387,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Htun Tauk Kyal,22.032197,96.474656,09 256 113 381,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Net Point,22.038432,96.489816,09 961 178881,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Service,Soe Kabar ,21.947242,96.397398,09 791 142354,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Bo Bo Rai,22.074165,96.507831,09 777 701948,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Unity,22.0286,96.464442,09 204 4451,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Htoo,21.896052,96.35849,09 970 868734,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Kyaw,22.024795,96.46384,,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Rose,22.027638,96.464641,085 23 047,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Store,Yaung Pyan,22.026731,96.462829,09 785 232937,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electrical Substation,Dey Family,22.025745,96.467045,09 42228 4118,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Service,Yaung Ni Oo,22.029952,96.495496,,,,,,
MR005,Mandalay Division,Pyin Oo Lwin,Electronic Security Co.Ltd,LUSiS,22.025089,96.488737,09 509 4247,,,,,
MR005,Mandalay Division,Patheingyi,Electrical Substation,Electronic and Ministry,22.002025,96.163391,,,,,,
MR005,Mandalay Division,Patheingyi,Electronic Store,SKY,21.99727,96.160293,09 44400 7448,,,,,
MR005,Mandalay Division,Patheingyi,Electronic Store,Shine,21.989208,96.157333,09 696 933245,,,,,
MR005,Mandalay Division,Patheingyi,Electronic Store,Hein,21.989193,96.159544,09 40004 3213,,,,,
MR005,Mandalay Division,Patheingyi,Electronic Store,PROACTIVE,21.991898,96.1582146,09 91023120,,,,,
MR005,Mandalay Division,Patheingyi,Electronic Store,HtakeTan,21.991172,96.158067,09 973 008228,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electrical Power Office,Electric Office,21.919308,96.131622,,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electrical Power Office,ChanMyaTharZi EPC ,21.928696,96.11617,09 431 01787,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Service,KyiKhineTun,21.936776,96.110197,09 44103 8155,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Service,LaMinThar,21.936924,96.104536,09 259 607 205,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Service,NiYon,21.934327,96.106246,09 978 501134,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Solar,21.933187,96.109247,09 42680 2461,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Than Htike Aung,21.900675,96.107935,09 261 337 559,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Philips,21.950493,96.111139,09 44231 1169,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Shine Moon,21.941089,96.106264,09 790 130187,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Lin Htet Electronic,21.944786,96.076779,09 42025 3253,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Green Electronic Store,21.941761,96.133738,09 765 406747,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Khaing Shwe War Electric Shop,21.934884,96.10917,09 263 120 005,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,MT,21.942637,96.09311,02 200 0075,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Aung,21.933138,96.108859,02 82 082,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Top Light,21.927501,96.112191,09 44102 0038,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Ko Khin Zaw,21.933121,96.109928,02 80 764,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,"Khin Oo Gabar Co.,Ltd",21.933142,96.10881,02 82 082,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Laxmi,21.931321,96.107913,,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Yaung Chi Thit,21.922068,96.123538,,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Shine,21.920878,96.12326,09 40365 5696,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Modern,21.923404,96.12186,09 798 655330,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Dragon II,21.938602,96.09758,09 767 677102,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,"Takumura(Myanmar)Technology Co.,Ltd",21.944125,96.076735,09 767 665368,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Kaung Min,21.943314,96.074799,09 431 00908,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Moe Myint San,21.94366,96.084851,09 44870 0870,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Neo Light,21.946049,96.085604,09 257 205 111,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Sein Nu Wai,21.953376,96.085512,09 256 119 176,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Soe Soe,21.939281,96.098886,09 44420 6604,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Ko Yee,21.928729,96.10794,09 259 023 764,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Mother's Home,21.9302,96.071665,09 40257 1255,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Sky,21.919761,96.130852,,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Mandalar,21.946319,96.085823,09 430 62951,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Nibban,21.912929,96.110388,09 44259 9919,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,Shwe Myint Mo,21.947749,96.123918,09 259 471 747,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,PuTone Family,21.946703,96.121283,09 977 345956,,,,,
MR005,Mandalay Division,ChanMyaThaZi,Electronic Store,A.K.T,21.932676,96.133518,09 259 063 564,,,,,
